H,TWI,Aspect,Hillshade,Roughness,Slope,Temperature_merra_1000hpa,T_rp5,Time,DayOfYear,X,Y
110,6.57,0.0,184,2,0.46,294.46,14.1,0,152,50.8,42.0
110,6.57,0.0,184,2,0.46,294.46,20.1,720,152,50.8,42.0
110,6.57,0.0,184,2,0.46,287.94,12.3,360,152,50.8,42.0
110,6.57,0.0,184,2,0.46,292.7,21.5,1080,152,50.8,42.0
110,6.57,0.0,184,2,0.46,299.21,24.1,720,153,50.8,42.0
110,6.57,0.0,184,2,0.46,289.93,11.8,0,153,50.8,42.0
110,6.57,0.0,184,2,0.46,295.96,12.7,360,153,50.8,42.0
110,6.57,0.0,184,2,0.46,289.69,25.5,1080,153,50.8,42.0
110,6.57,0.0,184,2,0.46,293.49,16.4,360,154,50.8,42.0
110,6.57,0.0,184,2,0.46,300.13,25.6,720,154,50.8,42.0
110,6.57,0.0,184,2,0.46,298.72,26.0,1080,154,50.8,42.0
110,6.57,0.0,184,2,0.46,286.8,15.2,0,154,50.8,42.0
110,6.57,0.0,184,2,0.46,294.4,18.9,1080,155,50.8,42.0
110,6.57,0.0,184,2,0.46,294.2,16.1,0,155,50.8,42.0
110,6.57,0.0,184,2,0.46,301.26,17.1,720,155,50.8,42.0
110,6.57,0.0,184,2,0.46,298.47,10.4,360,155,50.8,42.0
110,6.57,0.0,184,2,0.46,287.96,9.3,360,156,50.8,42.0
110,6.57,0.0,184,2,0.46,287.4,9.8,0,156,50.8,42.0
110,6.57,0.0,184,2,0.46,289.24,19.2,1080,156,50.8,42.0
110,6.57,0.0,184,2,0.46,295.39,19.9,720,156,50.8,42.0
110,6.57,0.0,184,2,0.46,290.7,10.6,360,157,50.8,42.0
110,6.57,0.0,184,2,0.46,295.24,20.9,720,157,50.8,42.0
110,6.57,0.0,184,2,0.46,291.75,21.6,1080,157,50.8,42.0
110,6.57,0.0,184,2,0.46,285.4,11.3,0,157,50.8,42.0
110,6.57,0.0,184,2,0.46,288.71,12.9,0,158,50.8,42.0
110,6.57,0.0,184,2,0.46,295.13,23.3,720,158,50.8,42.0
110,6.57,0.0,184,2,0.46,292.92,23.2,1080,158,50.8,42.0
110,6.57,0.0,184,2,0.46,291.3,14.5,360,158,50.8,42.0
110,6.57,0.0,184,2,0.46,296.05,24.5,1080,159,50.8,42.0
110,6.57,0.0,184,2,0.46,298.7,25.5,720,159,50.8,42.0
110,6.57,0.0,184,2,0.46,289.77,11.8,0,159,50.8,42.0
110,6.57,0.0,184,2,0.46,293.38,13.2,360,159,50.8,42.0
110,6.57,0.0,184,2,0.46,291.95,15.6,0,160,50.8,42.0
110,6.57,0.0,184,2,0.46,298.22,27.2,1080,160,50.8,42.0
110,6.57,0.0,184,2,0.46,296.52,15.7,360,160,50.8,42.0
110,6.57,0.0,184,2,0.46,300.45,26.6,720,160,50.8,42.0
110,6.57,0.0,184,2,0.46,294.35,16.0,0,161,50.8,42.0
110,6.57,0.0,184,2,0.46,299.63,16.1,360,161,50.8,42.0
