Preprocessing,Model,MSE,R^2
None,Linear Regression,22.15381517479242,0.4124836624538457
None,Random Forest,3.5728812258909843,0.9052476480569648
None,Gradient Boosting,7.3280874981680135,0.8056600592641816
None,K-Neighbors Regressor,10.705982285115303,0.7160787226778926
None,Decision Tree,6.661071802935011,0.8233492299671582
None,Support Vector Regressor,20.71238629372072,0.4507101715385696
StandardScaler,Linear Regression,22.153815174792395,0.4124836624538464
StandardScaler,Random Forest,3.5758320673480073,0.9051693921199251
StandardScaler,Gradient Boosting,7.3280874981680135,0.8056600592641816
StandardScaler,K-Neighbors Regressor,11.3118892033543,0.7000101489045273
StandardScaler,Decision Tree,6.644061844863731,0.8238003318739405
StandardScaler,Support Vector Regressor,16.698083439855875,0.5571689684498717
MinMaxScaler,Linear Regression,22.1538151747924,0.41248366245384627
MinMaxScaler,Random Forest,3.5739416905136254,0.9052195246711608
MinMaxScaler,Gradient Boosting,7.3280874981680135,0.8056600592641816
MinMaxScaler,K-Neighbors Regressor,11.047482704402517,0.7070221753506225
MinMaxScaler,Decision Tree,6.67792714884696,0.8229022283550147
MinMaxScaler,Support Vector Regressor,15.47623552811454,0.5895722183858689
PolynomialFeatures,Linear Regression,18.942526853868664,0.49764661692593215
PolynomialFeatures,Random Forest,4.042486972222221,0.8927937638840442
PolynomialFeatures,Gradient Boosting,7.013560773673188,0.814001267664523
PolynomialFeatures,K-Neighbors Regressor,10.76620964360587,0.714481500853964
PolynomialFeatures,Decision Tree,6.989551886792453,0.8146379802658261
PolynomialFeatures,Support Vector Regressor,21.021398999636236,0.44251519420386265
